情景,7天总补货量,7天总利润,利润变化%
基准,2607.888645642372,5305.189241268438,0.0
批发价+10%,2490.685519329935,5322.355758441482,0.32357973283041463
批发价-10%,2733.3264784405405,5270.620308837565,-0.6516060192908069
弹性+20%,2608.896346199958,5282.795345703701,-0.42211303963556324
弹性-20%,2608.78600635294,5330.48846763592,0.4768769824586405
损耗率=单品加权,2582.8747233152735,5705.222720073627,7.540418646961267
价格口径=当期加权,2536.220403860149,6722.148712099813,26.708933581652737
价格口径=中位价,2801.2882621069252,9165.926846049497,72.77285369480957
