分类编码,分类名称,价格弹性,t值,R2,截距,参考价,参考需求,有效成本,加价率P5,加价率P95,最优加价率,是否解析解
1011010101,花叶类,-0.5944,-9.606,0.3753,5.4926,5.894,183.224,4.114,0.4430,1.0139,1.0139,0
1011010201,花菜类,-0.5145,-5.663,0.3168,5.6423,9.952,38.573,9.693,0.2655,0.7876,0.7095,0
1011010402,水生根茎类,-0.0438,-0.418,0.5967,3.3424,9.220,37.450,12.929,0.2648,0.6962,0.4396,0
1011010501,茄类,-0.2589,-3.209,0.5225,0.9350,8.801,21.383,4.410,0.2956,0.8989,0.8989,0
1011010504,辣椒类,-0.1240,-3.163,0.4463,4.7755,8.627,84.518,3.495,0.2634,1.1403,1.1403,0
1011010801,食用菌,-0.3625,-6.115,0.3883,4.9249,11.094,70.209,2.759,0.3461,0.8150,0.8150,0
